,Country,AREA,AreaName,Region,DevName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
319,India,935,Asia,Southern Asia,Developing regions,1220,1560,1870,2090,2300,2510,2390,2900,2990,2980,3930,6080,5450,3350,4570,6420,5780,6410,7810,8370,10390,9380,9240,15080,18310,19920,27880,41920,58400,..,..,..,..,..
320,Indonesia,935,Asia,South-Eastern Asia,Developing regions,5990,4400,3780,4330,4070,3880,4120,3830,3690,4200,4330,4720,5660,6700,7440,9120,10580,12210,11730,13340,13640,15390,13650,13840,8970,7960,8350,8370,9960,..,..,..,..,..
321,Iran (Islamic Republic of),935,Asia,Southern Asia,Developing regions,320,170,180,290,360,420,440,590,630,490,1020,1160,1620,1080,980,1070,960,800,550,550,640,710,1140,1490,1250,1490,2320,2600,2310,..,..,..,..,..
322,Iraq,935,Asia,Western Asia,Developing regions,140,200,130,90,110,70,70,70,90,70,80,110,930,490,950,1410,930,950,840,400,250,50,140,50,240,300,520,650,1300,..,..,..,..,..
323,Ireland,908,Europe,Northern Europe,Developed regions,950,1470,1500,1220,740,1500,2340,3160,4210,4190,2050,1480,1260,1320,1850,2370,2520,3090,3440,4470,5050,5500,5490,6040,4560,4410,4630,6130,8930,..,..,..,..,..
324,Israel,935,Asia,Western Asia,Developing regions,960,950,820,760,880,940,1190,1000,1060,880,1090,910,900,980,1020,1000,1030,1040,1030,1150,1070,1240,1460,1320,1030,1040,980,1230,1000,..,..,..,..,..
325,Italy,908,Europe,Southern Europe,Developed regions,4210,4310,2620,2200,2400,2850,2570,2710,2710,2530,2110,1710,1780,1830,2000,2040,1960,1810,1650,1560,1750,1890,1690,1810,2250,2250,2560,2590,2840,..,..,..,..,..
326,Jamaica,904,Latin America and the Caribbean,Caribbean,Developing regions,40,20,20,40,60,40,30,30,20,30,30,20,30,20,40,10,30,30,20,10,30,50,30,60,40,20,30,30,50,..,..,..,..,..
327,Japan,935,Asia,Eastern Asia,Developed regions,2240,2980,2930,3200,3250,3760,4130,4930,6080,6950,8090,8500,8910,8930,9750,10270,10170,10800,10380,10230,10930,21200,24810,19030,11900,10920,10370,10640,10230,..,..,..,..,..
328,Jordan,935,Asia,Western Asia,Developing regions,40,60,60,110,120,160,280,340,260,240,280,440,600,320,340,630,580,440,520,590,790,700,910,1030,820,1190,980,760,1230,..,..,..,..,..
329,Kazakhstan,935,Asia,Central Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,10,40,30,70,70,70,50,50,70,80,80,50,80,80,100,120,..,..,..,..,..
330,Kenya,903,Africa,Eastern Africa,Developing regions,190,180,200,250,260,260,200,190,310,280,320,410,440,350,520,670,560,610,850,800,1010,1440,1810,2690,2760,2370,2180,1800,2030,..,..,..,..,..
331,Kiribati,909,Oceania,Micronesia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,60,80,70,90,150,110,100,80,60,60,70,90,50,90,100,70,90,70,..,..,..,..,..
332,Kuwait,935,Asia,Western Asia,Developing regions,60,50,90,80,140,160,130,230,240,190,200,120,300,190,190,220,200,230,200,220,200,270,230,290,220,220,260,270,400,..,..,..,..,..
333,Kyrgyzstan,935,Asia,Central Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,20,20,10,30,50,30,30,20,50,70,..,..,..,..,..
334,Lao People's Democratic Republic,935,Asia,South-Eastern Asia,Developing regions,10,20,20,20,30,20,10,40,40,50,70,90,150,140,190,240,220,220,210,190,250,250,250,230,170,170,220,220,320,..,..,..,..,..
335,Latvia,908,Europe,Northern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,10,50,40,60,30,60,60,50,50,70,70,80,100,50,90,60,60,80,..,..,..,..,..
336,Lebanon,935,Asia,Western Asia,Developing regions,1240,1350,1440,1410,3110,3000,3720,5060,4070,2900,3270,2820,1860,2130,2480,2730,2760,2490,2490,2380,2970,2770,2600,3000,2840,2710,3110,2500,10450,..,..,..,..,..
337,Lesotho,903,Africa,Southern Africa,Developing regions,10,10,20,10,10,20,10,10,10,10,10,10,10,20,20,20,20,0,0,0,10,10,30,20,10,10,10,10,10,..,..,..,..,..
338,Liberia,903,Africa,Western Africa,Developing regions,0,0,10,10,0,10,10,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,20,30,50,..,..,..,..,..
339,Libya,903,Africa,Northern Africa,Developing regions,70,80,70,60,50,40,20,30,30,20,20,20,10,20,20,20,30,20,20,20,10,50,20,50,40,30,60,100,220,..,..,..,..,..
340,Liechtenstein,908,Europe,Western Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,..,..,..,..,..
341,Lithuania,908,Europe,Northern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,10,0,20,40,20,20,30,10,20,20,30,50,60,70,40,40,40,40,80,..,..,..,..,..
342,Luxembourg,908,Europe,Western Europe,Developed regions,10,20,40,10,0,20,20,20,20,10,20,10,10,20,30,30,30,10,20,10,20,30,30,30,40,20,40,40,30,..,..,..,..,..
343,Madagascar,903,Africa,Eastern Africa,Developing regions,0,0,10,0,110,0,10,30,220,0,0,0,0,0,0,10,0,0,10,10,20,10,0,10,10,10,10,10,20,..,..,..,..,..
344,Malawi,903,Africa,Eastern Africa,Developing regions,20,30,40,40,30,50,30,40,30,40,50,40,30,50,50,40,60,30,40,20,20,50,100,110,150,90,150,290,110,..,..,..,..,..
345,Malaysia,935,Asia,South-Eastern Asia,Developing regions,12390,14420,12820,12330,11690,11100,10620,12320,14160,13160,12240,10340,8650,8430,8780,9550,10890,10740,9420,9160,10900,12520,14810,16880,12540,13130,13890,13540,14950,..,..,..,..,..
346,Maldives,935,Asia,Southern Asia,Developing regions,0,20,10,0,0,0,10,10,10,20,20,50,70,60,80,100,100,180,130,140,110,120,130,180,140,90,80,100,140,..,..,..,..,..
347,Mali,903,Africa,Western Africa,Developing regions,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,10,20,..,..,..,..,..
348,Malta,908,Europe,Southern Europe,Developed regions,1220,1850,880,610,660,820,800,680,530,370,310,280,310,270,340,380,340,280,300,210,190,170,230,250,290,250,250,230,250,..,..,..,..,..
349,Marshall Islands,909,Oceania,Micronesia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,20,10,10,0,10,10,10,10,20,10,10,10,20,..,..,..,..,..
350,Martinique,904,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,..,..,..,..,..
351,Mauritania,903,Africa,Western Africa,Developing regions,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,10,0,10,10,120,30,10,0,40,30,100,150,..,..,..,..,..
352,Mauritius,903,Africa,Eastern Africa,Developing regions,270,240,210,450,480,540,930,2270,1210,290,340,380,360,270,240,280,350,280,410,490,680,720,840,1010,780,850,1200,1660,3160,..,..,..,..,..
353,Mayotte,903,Africa,Eastern Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
354,Mexico,904,Latin America and the Caribbean,Central America,Developing regions,70,120,110,110,420,210,170,460,380,340,270,240,120,150,110,170,150,160,160,160,180,240,370,410,400,380,470,490,610,..,..,..,..,..
355,Micronesia (Federated States of),909,Oceania,Micronesia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,10,10,10,20,20,10,20,10,10,10,20,10,20,10,30,20,10,10,..,..,..,..,..
